modeling cost,model size,predict size
0.017677546,28,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.009,0.866666667
3,0.020473096,0.566666667
4,0.021479188,0.533333333
5,0.019985279,0.533333333
6,0.020985279,0.533333333
7,0.022981218,0.5
8,0.022493394,0.533333333
9,0.020497459,0.533333333
10,0.022000508,0.533333333
11,0.023997459,0.5
12,0.027491362,0.4
13,0.027492378,0.366666667
14,0.028997459,0.233333333
15,0.028497459,0.3
16,0.036470558,0.266666667
17,0.038470558,0.266666667
18,0.03847868,0.233333333
19,0.036982741,0.2
,,
modeling cost,model size,predict size
0.022310734,56,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.019957911,0.7
3,0.020463996,0.566666667
4,0.021471095,0.566666667
5,0.019979209,0.566666667
6,0.020985279,0.533333333
7,0.022981218,0.5
8,0.02248731,0.533333333
9,0.020493401,0.533333333
10,0.021995431,0.533333333
11,0.023991371,0.5
12,0.027485279,0.4
13,0.035464467,0.3
14,0.035974619,0.266666667
15,0.037466497,0.233333333
16,0.036470558,0.266666667
17,0.038470558,0.266666667
18,0.03847868,0.233333333
19,0.036982741,0.2
,,
modeling cost,model size,predict size
1.247371197,281,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.019957911,0.7
3,0.020463996,0.566666667
4,0.021471095,0.566666667
5,0.019979209,0.566666667
6,0.020985279,0.533333333
7,0.022981218,0.5
8,0.02248731,0.533333333
9,0.020493401,0.533333333
10,0.021995431,0.533333333
11,0.023991371,0.5
12,0.027485279,0.4
13,0.02748731,0.366666667
14,0.028991371,0.233333333
15,0.028491371,0.3
16,0.028491371,0.333333333
17,0.030491371,0.266666667
18,0.031495431,0.2
19,0.036982741,0.2
,,
modeling cost,model size,predict size
9.465867519,562,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.019982215,0.633333333
3,0.020484248,0.566666667
4,0.021488313,0.533333333
5,0.019992378,0.533333333
6,0.020992378,0.533333333
7,0.022989329,0.5
8,0.022493394,0.533333333
9,0.020497459,0.533333333
10,0.022000508,0.533333333
11,0.023997459,0.5
12,0.027491362,0.4
13,0.027492378,0.366666667
14,0.028997459,0.233333333
15,0.028497459,0.3
16,0.028497459,0.333333333
17,0.030497459,0.266666667
18,0.031500508,0.2
19,0.037007121,0.2
,,
modeling cost,model size,predict size
33.17160344,843,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.0198667,0.7
3,0.020396881,0.566666667
4,0.021406942,0.533333333
5,0.019931087,0.533333333
6,0.020931087,0.533333333
7,0.022918008,0.5
8,0.022442153,0.5
9,0.020466298,0.533333333
10,0.021955231,0.533333333
11,0.023942153,0.5
12,0.027437059,0.366666667
13,0.02744713,0.366666667
14,0.02894713,0.266666667
15,0.02844713,0.333333333
16,0.02844713,0.3
17,0.03044713,0.3
18,0.031455186,0.233333333
19,0.036874245,0.2
,,
modeling cost,model size,predict size
259.0393686,1686,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.01954834,0.7
3,0.020165527,0.566666667
4,0.021175293,0.533333333
5,0.019757324,0.533333333
6,0.020757324,0.533333333
7,0.022715332,0.5
8,0.022297363,0.5
9,0.020379395,0.533333333
10,0.021839355,0.533333333
11,0.023797363,0.5
12,0.027257324,0.366666667
13,0.027297363,0.366666667
14,0.028797363,0.266666667
15,0.028297363,0.333333333
16,0.028297363,0.3
17,0.030297363,0.3
18,0.037946289,0.233333333
19,0.036526367,0.2
,,
modeling cost,model size,predict size
2201.494408,3371,20
point,error,accuracy
0,0.007,0.933333333
1,0.0115,0.866666667
2,0.019296949,0.7
3,0.019982841,0.566666667
4,0.020992374,0.533333333
5,0.019620114,0.533333333
6,0.020620114,0.533333333
7,0.022555291,0.5
8,0.022183031,0.5
9,0.020310772,0.533333333
10,0.021747855,0.533333333
11,0.023683031,0.5
12,0.027120114,0.366666667
13,0.027183031,0.366666667
14,0.028683031,0.266666667
15,0.028183031,0.333333333
16,0.028183031,0.3
17,0.030183031,0.3
18,0.031195134,0.233333333
19,0.030631202,0.233333333
