model range: time >= '2017-04-28 08:06:00.000' AND time < '2017-04-28 08:14:00.000'
model size: 450, modeling cost: 3.535098075866699
test range: 2017-04-28 08:14:00.000-2017-04-28 08:17:00.000, predict horizon:5
error: 2.328247978436663, accuracy: 0.7777777777777778


model range: time >= '2017-04-28 08:10:30.000' AND time < '2017-04-28 08:14:00.000'
model size: 198, modeling cost: 0.31091952323913574
test range: 2017-04-28 08:14:00.000-2017-04-28 08:17:00.000, predict horizon:5
error: 2.2781337047353745, accuracy: 0.7222222222222222


model range: time >= '2017-04-28 08:00:00.000' AND time < '2017-04-28 08:06:00.000'
model size: 339, modeling cost: 1.5149757862091064
test range: 2017-04-28 08:14:00.000-2017-04-28 08:17:00.000, predict horizon:5
error: 3.662634146341439, accuracy: 0.5833333333333334


=============================================================



model range: time >= '2017-04-28 08:09:00.000' AND time < '2017-04-28 08:13:00.000'
model size: 226, modeling cost: 0.46405768394470215
test range: 2017-04-28 08:13:00.000-2017-04-28 08:19:00.000, predict horizon:5
error: 4.86377291105122, accuracy: 0.7638888888888888


model range: time >= '2017-04-28 08:10:30.000' AND time < '2017-04-28 08:13:00.000'
model size: 142, modeling cost: 0.11975955963134766
test range: 2017-04-28 08:13:00.000-2017-04-28 08:19:00.000, predict horizon:5
error: 4.75264902506963, accuracy: 0.7361111111111112


model range: time >= '2017-04-28 08:04:30.000' AND time < '2017-04-28 08:09:00.000'
model size: 252, modeling cost: 0.6129491329193115
test range: 2017-04-28 08:13:00.000-2017-04-28 08:19:00.000, predict horizon:5
error: 5.990534494306728, accuracy: 0.6944444444444444


=============================================================



model range: time >= '2017-04-28 10:57:00.000' AND time < '2017-04-28 11:04:00.000'
model size: 394, modeling cost: 2.292022705078125
test range: 2017-04-28 11:04:00.000-2017-04-28 11:09:00.000, predict horizon:5
error: 1.4008369322412555, accuracy: 0.9833333333333333


model range: time >= '2017-04-28 10:59:00.000' AND time < '2017-04-28 11:04:00.000'
model size: 282, modeling cost: 0.820528507232666
test range: 2017-04-28 11:04:00.000-2017-04-28 11:09:00.000, predict horizon:5
error: 1.4009127516778577, accuracy: 0.9833333333333333


model range: time >= '2017-04-28 10:50:30.000' AND time < '2017-04-28 10:57:00.000'
model size: 366, modeling cost: 1.7931947708129883
test range: 2017-04-28 11:04:00.000-2017-04-28 11:09:00.000, predict horizon:5
error: 1.3946630036630077, accuracy: 1.0


=============================================================



model range: time >= '2017-04-28 10:57:00.000' AND time < '2017-04-28 11:01:46.000'
model size: 268, modeling cost: 0.7595691680908203
test range: 2017-04-28 11:06:11.000-2017-04-28 11:09:00.000, predict horizon:5
error: 0.6224959046909874, accuracy: 1.0


model range: time >= '2017-04-28 10:59:00.000' AND time < '2017-04-28 11:01:46.000'
model size: 156, modeling cost: 0.18625664710998535
test range: 2017-04-28 11:06:11.000-2017-04-28 11:09:00.000, predict horizon:5
error: 0.622460850111856, accuracy: 1.0


model range: time >= '2017-04-28 10:50:30.000' AND time < '2017-04-28 10:57:00.000'
model size: 366, modeling cost: 1.971015453338623
test range: 2017-04-28 11:06:11.000-2017-04-28 11:09:00.000, predict horizon:5
error: 0.6267289377289359, accuracy: 1.0


=============================================================



model range: time >= '2017-04-28 10:57:00.000' AND time < '2017-04-28 11:01:46.000'
model size: 268, modeling cost: 0.7123012542724609
