model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.0781078338623047
test range: 2017-04-28 09:30:18.000-2017-04-28 09:31:52.000, predict horizon:10
accuracy: 0.6666666666666666, sampling frequency: 8


model range: time >= "2017-04-28 10:00:04.000" and time <= "2017-04-28 10:02:30.000"
model size: 138, modeling cost: 0.11027717590332031
test range: 2017-04-28 09:30:18.000-2017-04-28 09:31:52.000, predict horizon:10
accuracy: 0.6666666666666666, sampling frequency: 42


model range: time >= "2017-04-28 11:06:15.000" and time <= "2017-04-28 11:08:54.000"
model size: 155, modeling cost: 0.1821286678314209
test range: 2017-04-28 09:30:18.000-2017-04-28 09:31:52.000, predict horizon:10
accuracy: 0.0, sampling frequency: 10


model range: time >= "2017-04-28 11:21:55.000" and time <= "2017-04-28 11:25:26.000"
model size: 200, modeling cost: 0.31475830078125
test range: 2017-04-28 09:30:18.000-2017-04-28 09:31:52.000, predict horizon:10
accuracy: 0.0, sampling frequency: 1


=============================================================



model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.0397138595581055
test range: 2017-04-28 10:59:00.000-2017-04-28 11:01:46.000, predict horizon:10
accuracy: 1.0, sampling frequency: 153


model range: time >= "2017-04-28 10:00:04.000" and time <= "2017-04-28 10:02:30.000"
model size: 138, modeling cost: 0.11455321311950684
test range: 2017-04-28 10:59:00.000-2017-04-28 11:01:46.000, predict horizon:10
accuracy: 1.0, sampling frequency: 149


model range: time >= "2017-04-28 11:06:15.000" and time <= "2017-04-28 11:08:54.000"
model size: 155, modeling cost: 0.19100284576416016
test range: 2017-04-28 10:59:00.000-2017-04-28 11:01:46.000, predict horizon:10
accuracy: 0.7142857142857143, sampling frequency: 65


model range: time >= "2017-04-28 11:21:55.000" and time <= "2017-04-28 11:25:26.000"
model size: 200, modeling cost: 0.36880016326904297
test range: 2017-04-28 10:59:00.000-2017-04-28 11:01:46.000, predict horizon:10
accuracy: 0.6666666666666666, sampling frequency: 33


=============================================================



model range: time >= "2017-04-28 10:59:00.000" and time <= "2017-04-28 11:01:46.000"
model size: 157, modeling cost: 0.21408486366271973
test range: 2017-04-28 10:59:00.000-2017-04-28 11:01:46.000, predict horizon:10
accuracy: 0.8, sampling frequency: 72
=============================================================


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2198712825775146
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
accuracy: 1.0, sampling frequency: 155


model range: time >= "2017-04-28 10:00:04.000" and time <= "2017-04-28 10:02:30.000"
model size: 138, modeling cost: 0.12552952766418457
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
accuracy: 1.0, sampling frequency: 148


model range: time >= "2017-04-28 11:06:15.000" and time <= "2017-04-28 11:08:54.000"
model size: 155, modeling cost: 0.1737983226776123
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
accuracy: 0.875, sampling frequency: 106


model range: time >= "2017-04-28 11:21:55.000" and time <= "2017-04-28 11:25:26.000"
model size: 200, modeling cost: 0.32242298126220703
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
accuracy: 0.875, sampling frequency: 107


model range: time >= "2017-04-28 11:53:50.000" and time <= "2017-04-28 11:56:30.000"
model size: 150, modeling cost: 0.17120075225830078
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
accuracy: 0.8461538461538461, sampling frequency: 77


=============================================================
the miss ratio in test cases before are all 0.1

model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.0, accuracy: 1.0, sampling frequency: 160


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.1, accuracy: 1.0, sampling frequency: 155


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.2, accuracy: 1.0, sampling frequency: 142


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.3, accuracy: 1.0, sampling frequency: 134


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.4, accuracy: 1.0, sampling frequency: 115


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.5, accuracy: 0.9375, sampling frequency: 109


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.6, accuracy: 0.9375, sampling frequency: 95


model range: time >= "2017-04-28 09:43:00.000" and time <= "2017-04-28 09:49:47.000"
model size: 382, modeling cost: 2.2588720321655273
test range: 2017-04-28 11:53:50.000-2017-04-28 11:56:30.000, predict horizon:10
miss ratio:0.7, accuracy: 0.875, sampling frequency: 78


=============================================================



